,rho_0,xi,gamma,log10(zeta),num_stiff,material,eig_FEA,eig_CF,time
0,7.576108,0.999957,0.105171,-4.641548,1,metal,4.376632,4.114771,18.912024
0,6.137821,0.999957,0.105164,-4.641548,1,metal,4.374378,4.102472,11.635991
0,4.972623,0.999957,0.105170,-4.641548,1,metal,4.392464,4.106366,13.975770
0,4.028615,0.999957,0.105163,-4.641548,1,metal,4.415822,4.103792,11.553408
0,3.263812,0.999957,0.105169,-4.641548,1,metal,4.451924,4.117252,11.343305
0,2.644207,0.999957,0.105169,-4.641548,1,metal,4.657951,4.199376,9.876233
0,2.141807,0.999957,0.105169,-4.641548,1,metal,4.648170,4.110418,10.114763
0,1.735531,0.999957,0.105169,-4.641548,1,metal,4.989802,4.220587,9.658854
0,1.406051,0.999957,0.105163,-4.641548,1,metal,5.288711,4.535909,9.530315
0,1.139126,0.999957,0.105163,-4.641548,1,metal,5.290628,4.149215,9.854101
0,0.922874,0.999957,0.105170,-4.641548,1,metal,5.709076,4.149221,9.937308
0,0.747674,0.999957,0.105169,-4.641548,1,metal,6.583800,4.535921,9.783483
0,0.605734,0.999957,0.105170,-4.641548,1,metal,7.991135,5.378895,9.153158
0,0.490769,0.999957,0.105164,-4.641548,1,metal,10.041432,6.829290,9.806460
0,0.397575,0.999957,0.105168,-4.641548,1,metal,12.908689,9.149804,10.050485
0,0.260951,0.999834,0.105178,-4.641548,3,metal,29.191311,18.297639,37.880556
0,0.211412,0.999834,0.105179,-4.641548,3,metal,40.397453,26.771511,19.101249
0,0.171277,0.999834,0.105179,-4.641548,3,metal,56.277733,39.702196,18.286608
0,0.138762,0.999779,0.105174,-4.641548,5,metal,83.177319,59.416217,36.618081
0,8.211661,0.999431,0.525349,-4.418922,1,metal,4.849165,4.483431,9.736131
0,6.652708,0.999431,0.525377,-4.418922,1,metal,4.840476,4.469012,9.837836
0,5.389761,0.999431,0.525377,-4.418922,1,metal,4.853627,4.473582,11.956435
